@relation some_pulsars
@attribute Period numeric
@attribute Profile_Mean numeric
@attribute Profile_Sdtdev numeric
@attribute Profile_Skewness numeric
@attribute Profile_Kurtosis numeric
@attribute DM_SNR_Mean numeric
@attribute DM_SNR_Stddev numeric
@attribute DM_SNR_Skewness numeric
@attribute DM_SNR_Kurtosis numeric
@attribute class {0,1}
@data
244.143664323,120.7,47.875,-0.14883,3.376,1.1494,0.19397,-1.9776,13.703,0
322.603952476,126.96,57.71,0.085136,2.4574,1.0246,0.18032,-1.3846,12.414,0
299.351150811,93.656,48.351,0.16016,3.034,0.8946,0.14205,-2.2962,16.884,0
332.74915786,138.87,50.061,-0.066832,3.1865,1.173,0.2444,-0.9033,6.7451,0
380.399224167,111.73,50.814,0.35798,2.8443,1.0464,0.15043,-3.1168,24.732,0
190.901588514,145.99,58.775,-0.34046,2.646,0.95781,0.18417,-1.0931,8.8266,0
318.268610851,137.9,48.165,-0.19077,3.3081,1.0274,0.15918,-2.4749,18.546,0
473.272119018,124.94,53.681,0.007194,2.5683,1.2514,0.31225,-0.21112,4.4371,0
160.478943865,148.96,51.434,-0.5258,3.6348,1.0595,0.26479,0.095178,4.6292,0
216.369738332,120.34,50.52,-0.12558,3.1233,1.0455,0.17179,-2.3306,14.867,0
302.410835815,120.18,57.282,0.23241,2.6206,1.2112,0.20308,-1.8359,14.171,0
702.447806338,116.31,49.788,-0.10068,2.7731,1.231,0.19808,-2.1714,16.516,0
340.718067641,123.61,54.667,-0.1939,2.8063,1.0536,0.17038,-2.1971,15.953,0
750.057592928,145,43.882,-0.37182,4.0829,1.1063,0.21333,-1.3065,8.8248,0
1730.83819052,137.46,59.191,-0.023485,2.2296,1.5265,0.40736,-0.27071,3.2607,0
1243.11217776,131.22,61.474,-0.0578,2.4345,1.3195,0.21287,-2.1414,15.984,0
121.466005235,130.93,52.622,-0.23754,2.7118,1.0325,0.14786,-3.3916,24.7,0
421.872823419,138.04,49.808,-0.16533,3.2737,0.95317,0.15722,-2.0483,15.055,0
999.896413036,127.1,60.993,-0.040605,2.316,1.3806,0.28691,-0.80674,6.7974,0
991.644622592,135.3,52.761,-0.28372,2.827,2.1171,0.55411,-0.81468,3.6345,0
445.260933151,143.94,49.053,-0.29457,3.3647,1.0672,0.16356,-2.7683,19.326,0
1210.32283066,120.03,50.571,-0.20887,3.0366,0.95505,0.15878,-1.8923,14.425,0
222.795768329,135.87,52.021,-0.2329,3.3106,0.86367,0.15004,-1.6484,12.151,0
407.390396555,134.14,63.63,-0.12267,2.2619,0.8985,0.16634,-1.3616,9.991,0
1687.00500764,108.11,54.546,0.033833,2.607,1.3552,0.33243,-0.15185,4.5221,0
973.610018393,107.25,53.454,0.22766,2.9378,1.0284,0.17676,-1.6511,12.795,0
434.76946995,127.61,56.052,0.10158,2.6631,1.0887,0.15981,-2.9806,22.583,0
382.283560148,109.1,56.643,0.39122,2.7466,1.012,0.16622,-2.1266,14.845,0
1464.3839984,133.42,60.345,-0.26351,2.3592,1.6765,0.26622,-2.4532,16.608,0
1614.22211677,116.97,55.54,0.15862,2.5638,1.2135,0.21402,-1.4751,11.855,0
2075.11450798,127.59,56.638,-0.093224,2.7125,1.0832,0.1692,-2.5976,17.911,0
467.080550322,102.65,52.035,0.15709,2.6809,1.1967,0.22296,-1.2238,9.8641,0
628.638943328,106.83,52.848,-0.017519,2.7068,1.3918,0.24854,-1.4636,11.155,0
208.50037493,116.7,54.886,0.020779,2.6162,1.1767,0.22493,-1.3112,8.8087,0
442.924443647,144.57,44.753,-0.54474,3.8582,1.1644,0.17828,-2.6619,19.247,0
612.528675313,110.64,46.157,0.2828,3.426,1.3353,0.19991,-2.704,20.972,0
397.494866751,104.06,51.431,0.37028,3.188,1.0495,0.17156,-1.7876,16.059,0
456.476794538,132.26,58.943,0.076598,2.5902,1.3002,0.19203,-2.9339,22.088,0
75.5432496958,145.51,51.492,-0.36662,3.3301,0.93293,0.1645,-1.6295,11.554,0
275.330732254,137.68,56.222,-0.16853,2.6134,0.99199,0.15571,-2.4236,17.585,0
4029.86901167,133.41,59.021,-0.13683,2.5356,1.1263,0.22544,-0.47881,9.1641,0
656.747100827,143.38,52.784,-0.27194,3.1343,1.1795,0.23948,-1.0636,7.1756,0
217.405286306,121.31,58.891,0.18173,2.5468,1.5126,0.31849,-0.78259,6.7926,0
484.36433517,133.5,46.268,-0.60241,3.4081,1.2367,0.22088,-1.5287,11.258,0
507.720390144,113.81,55.786,0.36297,2.9397,1.1266,0.20742,-1.2017,10.635,0
450.987345143,128.24,50.584,-0.084903,3.1224,1.0798,0.17726,-2.1257,14.996,0
324.6107307,139.82,60.405,-0.18129,2.6163,0.93858,0.15126,-2.18,16.025,0
417.936291399,131,54.052,-0.18715,2.7425,0.98875,0.15292,-2.4656,18.541,0
400.956918621,136.91,48.695,-0.26872,3.4002,1.219,0.22977,-1.2496,9.1002,0
1533.49595699,120.67,60.345,0.13729,2.3065,1.3442,0.21954,-2.1606,15.074,0
667.267390193,136.38,47.104,-0.47283,3.3931,1.4749,0.31537,-0.93234,6.091,0
422.513206445,106.86,51.995,0.24344,3.2103,1.0482,0.19576,-1.4578,9.5952,0
491.231259917,119.48,49.63,0.023794,3.0751,0.98681,0.15307,-2.3451,18.509,0
316.212987603,119.15,50.503,-0.07847,3.127,1.1058,0.1697,-2.5717,19.036,0
382.217136914,109.79,51.807,0.1659,3.1103,1.0162,0.1773,-1.4054,12.776,0
2633.56899593,106.74,54.739,0.22963,2.7156,1.3604,0.2003,-2.9722,22.332,0
174.116764045,137.15,51.537,-0.11587,3.3917,0.94751,0.16427,-1.8411,12.699,0
403.623840124,116.12,50.188,0.14839,3.5438,1.1291,0.18865,-1.9328,14.13,0
420.774793025,134.31,48.923,-0.23509,3.1359,0.96888,0.19521,-0.89139,7.8057,0
272.363849252,151.7,43.743,-0.73232,4.4466,1.2894,0.19718,-2.51,19.38,0
219.508992401,136.61,55.296,-0.075573,2.6498,0.89831,0.17136,-1.252,8.9072,0
449.652338941,121.36,52.729,-0.21605,2.9618,1.2695,0.19845,-2.5048,17.83,0
485.200099879,130.94,60.621,-0.065947,2.3457,1.1902,0.17449,-2.8706,22.6,0
1667.84414388,123.08,47.109,0.090166,3.2608,1.2688,0.23154,-1.3848,10.497,0
428.924369057,137.36,54.94,-0.21536,2.5673,1.2707,0.22522,-1.2401,12.374,0
396.233801119,136.39,53.22,-0.18545,2.8567,1.0173,0.20071,-1.0965,8.0343,0
1144.50183852,111.61,52.54,0.092007,2.6506,1.1025,0.16997,-2.5218,18.783,0
451.414689694,133.43,53.446,-0.19056,2.8513,1.0454,0.15557,-2.9438,21.363,0
597.812677698,138.95,58.517,-0.25272,2.5329,1.1985,0.21253,-1.9608,11.387,0
281.029279545,117.26,53.539,0.080328,2.5762,0.92016,0.14675,-2.2013,16.604,0
305.277262295,111.64,56.626,0.15671,2.6469,1.1943,0.21694,-1.1459,11.031,0
316.271073793,131.75,56.658,-0.042788,2.7106,1.1549,0.17708,-2.5156,19.22,0
2249.86297002,126.47,44.635,-0.25011,3.6109,1.331,0.24791,-1.112,10.047,0
453.849275986,114,49.417,0.28367,3.1173,1.2182,0.28198,-0.67608,4.9304,0
573.533160005,125.68,56.535,-0.13579,2.6232,1.1216,0.18856,-1.9772,13.666,0
377.10038001,133.72,53.95,-0.15507,2.6522,0.97671,0.16571,-1.7873,13.524,0
285.069777619,149.55,48.03,-0.20733,3.611,1.0539,0.1816,-1.5146,13.523,0
392.208651773,128.86,59.517,-0.028513,2.4538,1.1078,0.20763,-1.0012,9.6483,0
493.236758868,112.69,45.664,0.033289,3.8658,1.0538,0.18287,-1.5677,12.477,0
278.632923961,136.65,51.123,0.02967,3.0719,0.8909,0.14794,-1.9643,14.4,0
326.302423973,121.49,48.578,0.007007,3.6144,1.1445,0.18668,-1.7871,15.949,0
460.215576565,136.29,52.008,-0.29238,3.0378,1.1193,0.19435,-1.7734,12.1,0
478.304324192,152.27,49.637,-0.60189,4.2652,1.0581,0.17889,-2.1461,13.452,0
193.437847602,120.21,52.224,0.17245,2.8235,1.1868,0.16584,-3.6133,27.048,0
410.785890642,102.17,47.503,0.25201,3.1985,1.0041,0.17726,-1.7693,11.598,0
467.534035266,129.53,50.195,-0.35472,3.1161,1.0985,0.1612,-2.9691,22.611,0
98.1083603825,142.87,45.615,-0.52926,3.8927,1.081,0.16941,-2.2259,17.915,0
281.655009429,125.97,48.547,-0.17229,3.2228,0.98916,0.14633,-2.9241,22.093,0
1000.20962757,141.62,55.102,-0.40321,2.7399,1.3229,0.35145,-0.33915,3.4528,0
451.119253798,121.02,57.215,-0.049388,2.5335,1.6195,0.31903,-1.4809,8.0918,0
284.488775409,127.81,49.249,0.078253,3.2312,1.0621,0.16022,-2.6501,20.555,0
144.043749325,119.65,39.203,-0.23274,4.3876,1.2545,0.18947,-2.4425,21.081,0
342.067338332,138.34,55.055,-0.1846,2.9112,0.97232,0.14565,-2.7299,21.039,0
422.560472096,113.84,51.63,0.24112,2.9257,1.3155,0.28543,-0.78782,5.8308,0
357.615476491,92.801,43.808,0.42541,4.0429,1.1364,0.17384,-2.7168,19.281,0
4022.29088582,133.85,51.854,-0.22059,3.09,1.0213,0.18712,-1.4509,10.241,0
280.805634018,120.42,56.136,-0.037701,2.1853,1.2426,0.16711,-3.9958,31.559,0
424.046448403,131.98,58.245,-0.068683,2.6716,1.05,0.1577,-2.6381,20.908,0
331.412995131,108.09,63.219,0.43673,2.6068,0.93258,0.14119,-2.7724,20.161,0
249.172014454,127.3,57.702,0.13245,2.4976,0.96424,0.14573,-2.7721,20.261,0
384.343727834,138.41,57.252,-0.26704,2.5932,1.0754,0.20923,-1.047,8.5997,0
213.31195728,110.55,54.718,0.29033,2.7177,1.1108,0.18721,-2.1265,13.681,0
1852.92075555,131.45,54.93,-0.036216,2.7913,1.3351,0.24087,-1.3719,10.728,0
457.124479615,104.19,50.239,0.23524,3.1172,1.0496,0.1733,-2.106,14.593,0
1920.83859648,128.01,48.471,0.11401,3.1795,1.2842,0.25163,-1.006,8.3214,0
1520.71583975,117.87,45.608,-0.016615,3.1785,1.2026,0.20298,-1.6908,14.008,0
444.933472805,138.49,56.467,-0.32204,2.9341,1.1662,0.17326,-2.9487,21.497,0
152.338773657,136.22,58.83,-0.3556,2.4465,1.0314,0.15513,-2.9304,20.628,0
272.226908291,123.11,53.571,0.23746,2.8653,1.2138,0.22305,-1.2514,10.391,0
168.458670707,141.13,54.91,-0.30022,2.9094,1.0394,0.16024,-2.4351,19.184,0
392.258897156,137.7,52.303,-0.24851,3.0558,1.1846,0.20297,-1.885,12.655,0
765.636284494,108.07,50.822,0.034484,2.9338,1.0643,0.1668,-2.4787,17.688,0
330.815120443,107.15,52.617,0.21834,2.9559,1.0791,0.17532,-2.2136,15.464,0
410.709262826,135.14,59.737,-0.029153,2.4265,1.2312,0.20598,-1.9714,13.886,0
1257.99562021,94.921,48.456,0.44136,3.3773,1.0551,0.17677,-1.7522,14.202,0
323.642526789,125.65,52.166,-0.098956,2.894,1.0043,0.15198,-2.6977,20.338,0
229.452946482,110.97,47.921,-0.11669,3.0093,0.97398,0.15474,-2.1132,17.61,0
367.839808846,127.79,53.021,-0.16157,2.6316,1.1359,0.18041,-2.2276,17.172,0
1621.42715534,122.37,40.539,-0.039548,4.2884,1.3216,0.21339,-2.4622,15.994,0
296.285331971,119,47.482,0.14989,3.2959,1.2785,0.19363,-2.8638,20.199,0
1354.50697498,97.363,49.842,0.60088,3.4715,1.3648,0.26425,-1.2824,8.39,0
205.165589563,147.55,58.371,-0.29215,2.5253,1.246,0.17553,-3.3986,26.249,0
1000.0524921,121.54,54.582,0.017825,2.7966,2.2295,0.30067,-4.0781,31.173,0
447.35327414,122.98,54.984,0.045097,2.6741,1.0218,0.17709,-1.8011,12.359,0
471.668208318,133.16,57.431,-0.077082,2.6025,0.98486,0.15759,-2.0282,16.986,0
613.167235927,139.2,57.181,-0.2194,2.7281,1.0863,0.16932,-2.3541,18.221,0
367.308018358,135.08,63.142,-0.046662,2.2903,0.96225,0.16246,-2.0792,13.542,0
240.100075651,114.5,51.49,-0.070264,2.7361,1.2582,0.19626,-2.545,17.989,0
697.864106386,121.33,49.142,0.052818,3.0743,1.1645,0.1979,-1.8033,13.348,0
444.439544646,128.92,56.725,-0.21084,2.6912,1.5957,0.22415,-3.5788,26.683,0
225.436562618,117.25,51.274,0.073227,2.8315,0.94705,0.15812,-1.9551,14.174,0
230.574276854,108.86,48.529,0.291,3.2115,1.0638,0.17187,-2.3504,15.763,0
275.411989035,131.21,54.672,-0.26608,2.6541,1.4516,0.2011,-3.751,28.026,0
