@relation some_pulsars
@attribute Period numeric
@attribute Profile_Mean numeric
@attribute Profile_Sdtdev numeric
@attribute Profile_Skewness numeric
@attribute Profile_Kurtosis numeric
@attribute DM_SNR_Mean numeric
@attribute DM_SNR_Stddev numeric
@attribute DM_SNR_Skewness numeric
@attribute DM_SNR_Kurtosis numeric
@attribute class {0,1}
@data
3.0543161265,63.796875,39.5739733314,2.488179415,9.6044139304,63.482345191,31.5494908583,1.5764661144,4.0727606673,0
12.7858466346,79.1875,36.8666833842,1.9023915785,7.3871063723,81.8585115865,46.5861409463,0.7201851309,-0.0456671406,0
8.1227997509,32.515625,39.3104598785,3.9636125785,17.1777488667,69.6855345912,48.2403872229,1.2452742143,1.3694930358,0
4.0745368073,30.453125,39.2009764258,3.6226577267,15.9975886806,137.903409091,56.8613368625,-0.1795480527,-0.8618741109,0
5.3123360937,19.875,39.6951272198,4.830571275,23.4246816235,54.8880877743,46.570804446,1.0445748514,0.8994107257,0
2.3444985722,80.359375,58.7865224742,1.4116151394,1.1749858991,71.6602242901,54.9123684421,1.3026684984,0.7711577377,0
3.4966348458,64,37.518328854,2.7025810235,10.8892187635,67.1228693182,39.9373598981,1.3720159212,2.3773582218,0
23.6224993393,52.25,39.4374504754,3.6926772704,15.1841672659,70.7710892711,46.1177100177,1.4796821023,2.5226898696,0
4.1750284142,23.140625,47.1781421806,3.6907387586,13.0448064186,90.7055692056,53.2980405247,0.7085182842,0.0810729822,0
6.0006037239,34.359375,42.8556323557,3.4652527947,12.2944120797,102.506552007,54.3569827207,0.3891970038,-0.1753401641,0
2.6604290745,33.09375,49.7822504608,3.3478484693,10.6367217621,91.9324675325,55.7539099048,0.4276245675,-0.3490113188,0
3.5753811966,25.84375,40.5748608862,4.8788198166,23.3588874997,52.6544977332,42.7966640411,1.200481184,1.7689882753,0
4.0745428438,12.015625,36.3401861699,5.5208010947,31.205018958,58.8409090909,46.513999303,1.629930109,2.8843595723,0
8.4864218552,79.609375,46.279590935,1.4796410518,4.1917030263,73.9963304924,47.395078107,0.9067873052,0.0902864475,0
11.3573832794,59.140625,41.7555636965,2.7511480594,10.436987717,88.5696150696,42.1347953221,1.0103512003,1.4364012082,0
14.8431100235,59.1875,40.4540151746,2.5969644114,9.9575139268,79.7539525692,38.4138462603,0.8500095417,0.6400235589,0
3.1022379717,99.03125,47.7738712419,0.970961455,1.3780587988,114.54743083,52.1696083958,0.0307178483,-0.9707639978,0
3.5395304847,31.828125,39.1082450896,4.2304909798,19.7793548255,92.1152219873,38.7024450629,0.1424617606,0.9876194836,0
5.7901584367,57.6875,41.1904399558,2.4125569794,8.7630245142,67.970959596,46.0157389458,1.3867160217,2.0586048258,0
7.6462627693,39.046875,40.7911715661,3.7751654307,15.9780748127,77.5973011364,49.2901457504,0.9100290573,0.455135855,0
1.8456645856,18.765625,42.0772140637,5.1434153094,25.3594471888,49.7490358127,35.9771061717,2.0248085284,5.8747316439,0
4.1291653573,10.890625,37.7334886024,5.5182546109,29.9699600269,64.8764044944,38.7108007266,1.0423883167,2.0309273052,0
7.6462645553,32.59375,40.8804349407,4.6599507085,22.1092869956,49.3471673254,37.2825627878,1.9185943463,4.9519825564,0
7.4744435513,31,41.1669618748,3.9129443149,15.8803604542,85.3751803752,51.1799734957,0.42893202,-0.2530926431,0
3.6257167464,40.15625,41.4477150871,4.010006498,17.2956315882,96.0303030303,44.1333103418,0.8751337244,0.9401465672,0
8.1227984249,92.046875,50.7932173399,1.3530203507,1.9136435178,85.3109630335,51.7701131509,0.5683432837,-0.5065988703,0
5.4400049475,22.5,39.6386017665,4.3586298643,19.8590941355,81.2654545455,50.2863601659,0.8709599391,0.3487162578,0
4.0745419399,45.765625,36.055401029,3.9054275254,18.5580072771,56.7778787879,34.5235720313,1.8647019281,5.5659819982,0
4.0745458596,67.46875,46.43441906,1.9401636929,4.7645158859,66.6904198232,45.9442481275,1.4691359392,1.6141919653,0
26.7445346887,32.921875,42.5596290102,3.7071325454,14.3255308924,85.2923832924,39.5639274643,0.5271448014,0.9431913207,0
4.5051408842,51.609375,38.2351348515,3.2329926505,13.0642804122,79.1132376396,49.033684027,1.1590276196,1.1201357445,0
3.4966361237,31.5625,39.5027194475,4.5388667329,21.3301858415,70.6318591319,45.4923022773,1.3603935979,2.2437122158,0
23.6224993393,24.328125,42.8821257517,4.667619117,21.5500545902,73.6604278075,43.3097044758,1.2586083939,1.6316802456,0
11.1102666248,53.515625,37.9716144753,3.1839748492,13.3878605967,100.423775425,45.5008781237,-0.0148080496,-0.4786211283,0
7.4537863036,41.21875,38.0720816142,4.1359378307,19.2571503024,51.2081051479,37.1676307882,1.3714303556,2.9328796226,0
