@relation some_pulsars
@attribute Period numeric
@attribute Profile_Mean numeric
@attribute Profile_Sdtdev numeric
@attribute Profile_Skewness numeric
@attribute Profile_Kurtosis numeric
@attribute DM_SNR_Mean numeric
@attribute DM_SNR_Stddev numeric
@attribute DM_SNR_Skewness numeric
@attribute DM_SNR_Kurtosis numeric
@attribute class {0,1}
@data
3.9148237865,38.40625,41.4075471495,4.0806471982,17.9600349034,74.0134680135,34.380481314,1.483930854,4.3218567313,0
3.054315885,76.671875,50.07230855,1.797571445,3.100705383,1.289297659,11.07083845,16.43405227,314.1971868,1
14.84266268,42.578125,46.63833746,2.841558376,7.832819342,12.97157191,38.49884932,3.799727502,14.99083404,1
7.646266917,67.234375,42.43662267,1.832765714,5.054608272,3.02090301,19.1078281,9.410615067,98.70291806,1
20.24973308,103.7265625,40.6455169,0.172961573,0.768398273,2.818561873,16.53630919,8.304640887,85.44758983,1
26.74461888,95.7734375,42.85663142,0.912225337,1.99733417,5.929765886,28.19417413,6.027262065,39.04775269,1
7.4744435513,31,41.1669618748,3.9129443149,15.8803604542,85.3751803752,51.1799734957,0.42893202,-0.2530926431,0
2.0568404708,42.625,35.6320168528,4.2682170078,21.029275626,48.389483066,33.0143151566,2.1537938019,6.0975465212,0
7.502461461,91.0234375,42.73198905,0.320523518,0.719521477,1.767558528,11.70667781,11.80153271,201.4082611,1
17.45511895,109.3203125,51.89260749,0.386717797,0.032412194,1.678093645,12.54567128,12.57411112,204.9312164,1
6.000600928,90.0703125,46.31316356,1.409969609,3.038750015,3.030936455,17.28687362,8.303035615,82.62758841,1
6.000603638,37.6640625,39.51290876,3.495256736,13.13504707,7.785117057,27.56202757,5.014885742,29.18375371,1
7.4537863036,52.375,39.027434261,3.1175324956,12.7554551242,87.2316919192,41.4057027416,0.4736944312,0.4659966156,0
2.338637897,36.0390625,46.97745509,3.312638443,10.61678866,1.495819398,13.53507086,13.30621017,200.8570219,1
5.7901584367,52.359375,39.7623279576,3.3137871993,14.1277376453,42.2494714588,29.370892018,2.4003158456,8.346660814,0
7.82995673,93.2578125,44.82173826,0.572260442,0.740391599,1.834448161,12.06238039,11.71872454,190.6753705,1
2.6305231271,70.609375,63.602431456,1.5223879847,1.0189441101,116.736691237,66.7919063976,0.1864866189,-1.009824625,0
3.625098284,94.28125,51.19813496,1.184976477,1.473597043,2.756688963,17.59266428,9.543768817,106.0679885,1
19.3758852136,41.171875,45.2398312771,3.3854666416,11.3551128505,92.7702702703,56.5319668565,0.5774458606,-0.2245805136,0
23.6224993393,24.328125,42.8821257517,4.667619117,21.5500545902,73.6604278075,43.3097044758,1.2586083939,1.6316802456,0
5.3123360937,19.875,39.6951272198,4.830571275,23.4246816235,54.8880877743,46.570804446,1.0445748514,0.8994107257,0
14.842667386,70.125,38.934841402,2.8149735801,11.2751953204,64.8697614442,40.6875443851,1.5806984677,3.8825297584,0
23.0989043782,53.28125,40.8068884925,2.8831789407,10.0918264945,94.4478840125,45.9599275813,0.0049242611,-0.2465929539,0
6.624092192,123.5703125,57.27669732,0.514650264,-0.346149639,3.496655518,21.32027994,8.74531061,84.63796303,1
4.505141922,82.6171875,49.65067363,0.919883294,0.807797142,2.566053512,19.6474313,10.24436306,110.5672784,1
2.933671619,39.84375,34.38146246,4.322009647,22.61491549,1.905518395,11.81258058,12.38519299,210.9521582,1
4.1750284142,23.140625,47.1781421806,3.6907387586,13.0448064186,90.7055692056,53.2980405247,0.7085182842,0.0810729822,0
4.0745458599,103.78125,58.8141853505,0.7284373456,0.0639873469,110.613505747,70.8711037323,0.2989456889,-1.293921509,0
3.333529187,60.921875,52.62033967,2.341728151,5.160033972,0.486622074,7.658622807,30.88388219,1017.38318,1
11.1102666248,53.515625,37.9716144753,3.1839748492,13.3878605967,100.423775425,45.5008781237,-0.0148080496,-0.4786211283,0
3.1022379717,99.03125,47.7738712419,0.970961455,1.3780587988,114.54743083,52.1696083958,0.0307178483,-0.9707639978,0
11.10922022,55.5078125,51.49848239,2.076188454,4.156706332,7.33277592,33.81505319,5.034427743,25.43865862,1
7.6026104476,42.125,36.0336214527,4.2641528293,20.7118403792,66.7293625914,42.7643405697,1.365326673,2.3426342778,0
11.1102796,76.890625,43.79162919,1.390849204,2.472939287,5.550167224,29.8579131,6.281987155,40.44384599,1
3.625092247,69.2109375,45.26616637,2.024290832,4.485091033,2.546822742,18.20122515,9.997592919,109.1223064,1
1.64560869,123.7109375,56.01648088,0.223849596,-0.572024717,0.678929766,10.06511862,20.43001943,449.028584,1
2.344498757,68.46875,40.7509466,2.093170556,5.353432556,53.85284281,32.9225058,-0.731595828,0.309300434,1
3.6250980297,76,67.3985348505,1.4013372052,0.8011520447,114.285521886,74.0093812359,-0.022618612,-1.2531507877,0
30.58754268,106.671875,41.35330046,0.420093235,0.781941293,2.903010033,17.35934274,7.99972221,77.2891029,1
26.7445346887,32.921875,42.5596290102,3.7071325454,14.3255308924,85.2923832924,39.5639274643,0.5271448014,0.9431913207,0
3.5395304847,31.828125,39.1082450896,4.2304909798,19.7793548255,92.1152219873,38.7024450629,0.1424617606,0.9876194836,0
4.1291653573,10.890625,37.7334886024,5.5182546109,29.9699600269,64.8764044944,38.7108007266,1.0423883167,2.0309273052,0
9.3434675475,36.8125,45.9057713556,3.1693400341,10.3170917016,53.892476489,50.6294758031,1.4984963024,1.8062876421,0
20.15805163,95.390625,57.46088811,0.850746019,-0.112877154,11.2951505,44.43700976,4.134948641,16.12329194,1
11.64372913,98.2109375,47.24250145,0.591122875,0.40110591,1.427257525,12.35872241,13.39411501,218.1620811,1
6.708130149,94.65625,48.96577847,1.120508084,1.532026927,3.712374582,23.56963384,8.139562245,70.77428481,1
3.102237965,78.953125,46.68626327,1.42265173,2.492381502,48.41137124,38.32395364,-0.184758638,-0.466768579,1
3.496632669,115.15625,54.41326778,0.389621738,-0.129343322,3.133779264,21.17554032,9.289008901,93.01545005,1
14.97036115,97.78125,52.60479682,0.592962349,0.224945217,1.691471572,11.86776194,12.00628519,199.2081619,1
6.708047076,96.5546875,53.00056141,0.809315292,0.539037758,4.046822742,24.36623743,7.722319938,63.4540328,1
2.660429083,37.484375,42.82358148,3.227628728,11.1104865,1.466555184,13.5652043,13.28380171,198.4579322,1
3.0594662217,50.375,41.2107768066,3.1880869311,12.6238397408,79.7101869761,47.2518952509,1.1575788241,1.1642676883,0
4.413250028,108.515625,44.31756571,0.195451718,0.708589752,1.726588629,12.75586279,11.71487066,177.5193438,1
12.64860919,95.171875,42.95730245,0.879437314,1.848678762,2.558528428,16.14987557,9.463292112,113.1898563,1
28.48145572,70.984375,47.46281182,1.698129534,3.342902637,6.898829431,30.63443914,5.769658132,35.77648585,1
3.4966361237,31.5625,39.5027194475,4.5388667329,21.3301858415,70.6318591319,45.4923022773,1.3603935979,2.2437122158,0
7.646267117,34.3984375,37.95563608,3.460571857,14.42589355,12.00501672,33.99608931,4.112380203,19.10059025,1
3.5753811966,25.84375,40.5748608862,4.8788198166,23.3588874997,52.6544977332,42.7966640411,1.200481184,1.7689882753,0
23.6224479,77.0234375,44.50675244,1.268602281,2.605826138,7.808528428,36.83023007,5.181513792,26.51027772,1
3.6250962133,56.46875,42.6812197979,2.5800880053,7.7415738382,94.8448616601,55.3087094098,0.6556006811,-0.1996844307,0
2.3444985722,80.359375,58.7865224742,1.4116151394,1.1749858991,71.6602242901,54.9123684421,1.3026684984,0.7711577377,0
5.4400049475,22.5,39.6386017665,4.3586298643,19.8590941355,81.2654545455,50.2863601659,0.8709599391,0.3487162578,0
8.1227997509,32.515625,39.3104598785,3.9636125785,17.1777488667,69.6855345912,48.2403872229,1.2452742143,1.3694930358,0
3.539530387,77.859375,45.07437159,1.73082618,3.978892072,1.336956522,12.14258952,15.41355777,267.4616709,1
2.6604290745,28.171875,43.0147339174,3.8774520787,15.2628638948,71.9789944904,46.6357349722,1.3247555583,1.5450989031,0
4.0745368073,30.453125,39.2009764258,3.6226577267,15.9975886806,137.903409091,56.8613368625,-0.1795480527,-0.8618741109,0
15.31135474,98.78125,38.664409,0.456107149,1.281347149,3.024247492,19.36025946,8.476797654,81.43262624,1
29.6065172,112.4296875,35.53248593,0.290976003,1.689669757,2.470735786,18.13536005,9.841046265,109.7220446,1
21.59394541,117.3515625,47.6008124,0.163797949,-0.173308776,3.364548495,17.78139874,6.934597287,59.90677275,1
12.6519275,85.578125,45.34461954,1.5705241,3.205262034,1.83277592,14.83472366,12.66582563,180.0859761,1
3.350318557,103.6796875,36.38400524,0.806300387,3.279463576,2.321906355,13.56050069,9.548849097,126.3620126,1
12.648247,112.8046875,45.75479118,0.540709323,0.746627981,3.154682274,19.84194199,8.779148093,87.6761485,1
3.625096418,104.53125,47.9394047,0.865707929,0.848686501,2.449832776,17.39243074,9.904190427,110.2218337,1
23.6224993393,52.25,39.4374504754,3.6926772704,15.1841672659,70.7710892711,46.1177100177,1.4796821023,2.5226898696,0
9.424110836,97.3125,38.28526765,1.201549111,2.972211693,1.785117057,12.31151455,11.77714906,185.2641987,1
11.11002821,49.25,53.79605585,2.081977286,3.98201336,8.286789298,34.42444384,4.893210473,24.45344422,1
14.8431100235,59.1875,40.4540151746,2.5969644114,9.9575139268,79.7539525692,38.4138462603,0.8500095417,0.6400235589,0
8.122796694,47.203125,61.00824219,2.009311961,2.740597233,23.19230769,47.12111493,2.417386344,5.858358578,1
4.6957559777,85.859375,59.6290269048,0.834028218,-0.0177798476,159.688651218,61.3337830974,-0.5598344289,-0.664116559,0
3.102117961,89.0546875,43.84388295,1.035462208,1.177780035,2.006688963,12.96341477,10.95409368,160.6677306,1
7.6462690519,17.390625,37.2502588865,5.2850966061,28.0619176253,59.5848484848,45.1897053255,1.470690165,2.4424939513,0
11.56446335,60.5234375,41.38122401,2.812397389,8.285401673,2.420568562,17.79649579,10.40307237,118.6298063,1
8.4864218552,79.609375,46.279590935,1.4796410518,4.1917030263,73.9963304924,47.395078107,0.9067873052,0.0902864475,0
8.87292435,60.1484375,49.56342052,2.042535958,4.475835277,7.959866221,36.35170628,5.155641077,26.6515781,1
1.350181771,109.0546875,49.4613657,0.335681502,0.092140616,0.928929766,9.343990925,19.62280224,479.6709644,1
3.4966345246,44.703125,56.4561997502,2.7321463737,6.3384721293,96.0634249471,50.89204462,0.5677812531,-0.2592203748,0
2.0568404708,53.5,39.2189367525,3.3442975161,12.7520198543,81.9582027168,47.1607317227,0.6375803081,0.1178070824,0
7.4740856006,43.734375,38.0801958813,4.2218633791,19.576646413,66.2081189251,42.3571439234,1.2914479259,1.9107607552,0
1.84566477,77.4609375,40.54220454,2.135287566,5.697781332,1.044314381,11.21225184,18.34357426,375.3974277,1
3.4966348458,64,37.518328854,2.7025810235,10.8892187635,67.1228693182,39.9373598981,1.3720159212,2.3773582218,0
12.64313297,51.1015625,37.34129748,2.838736612,10.16609232,2.951505017,18.39816924,8.914529612,90.29637299,1
3.0543161265,63.796875,39.5739733314,2.488179415,9.6044139304,63.482345191,31.5494908583,1.5764661144,4.0727606673,0
4.5051408842,78.578125,53.4581625805,1.5865077597,2.753900252,111.340766152,56.8748332495,0.2407768003,-1.015763118,0
11.98754862,81.953125,48.55214004,1.031327331,1.298143915,3.736622074,23.71193545,7.977269659,68.12710465,1
4.1103015285,30.5625,55.7067867836,2.8898699576,7.3020400097,97.4835858586,52.9962809184,0.1318387701,-0.1676144716,0
2.630523125,57.5546875,46.24337936,2.740055523,7.864373369,2.285117057,16.7783548,10.4503698,121.6933137,1
3.059466257,99.9375,55.62496489,0.928824005,0.360270494,1.985785953,15.98506719,12.0950323,159.5323744,1
3.6257167464,40.15625,41.4477150871,4.010006498,17.2956315882,96.0303030303,44.1333103418,0.8751337244,0.9401465672,0
5.409663426,114.34375,55.57770988,0.115901066,-0.428059593,2.498327759,15.68969041,9.313520095,105.6674433,1
11.3573832794,59.140625,41.7555636965,2.7511480594,10.436987717,88.5696150696,42.1347953221,1.0103512003,1.4364012082,0
12.7858466346,79.1875,36.8666833842,1.9023915785,7.3871063723,81.8585115865,46.5861409463,0.7201851309,-0.0456671406,0
4.0745419399,45.765625,36.055401029,3.9054275254,18.5580072771,56.7778787879,34.5235720313,1.8647019281,5.5659819982,0
8.1227984249,92.046875,50.7932173399,1.3530203507,1.9136435178,85.3109630335,51.7701131509,0.5683432837,-0.5065988703,0
2.3444985722,74.46875,38.6809743083,2.0491637853,6.5383943151,83.603030303,57.4912182448,0.8477745657,-0.338752181,0
7.453789059,86.8203125,49.02700684,0.946273471,1.208269737,3.054347826,19.57793506,9.13664447,96.28819525,1
2.3386378602,27.921875,41.3076508832,4.6206329216,21.2832049985,66.1865800866,44.2960585283,0.9539183318,1.1869855215,0
14.8423770721,20.96875,36.6486565025,4.9285867354,25.730441882,66.922979798,45.817476161,1.4625733945,2.2906536555,0
3.0543160759,42.59375,37.7908383201,3.9220609958,18.0616299532,46.2177735908,36.8552799165,1.8545801533,3.8795425369,0
2.6604290745,33.09375,49.7822504608,3.3478484693,10.6367217621,91.9324675325,55.7539099048,0.4276245675,-0.3490113188,0
5.790158641,76.265625,43.46361344,1.894294986,4.563727142,4.655518395,26.16049118,6.785014401,48.36674396,1
7.646264245,48.546875,39.36266858,2.988956863,11.16385845,5.714882943,27.96249541,6.044960199,38.35714242,1
5.312337929,84.5390625,40.82793589,1.789563736,4.561213836,3.56270903,22.27417887,8.323706164,73.56392192,1
11.10894227,61.7265625,50.89430144,2.167074934,4.613956303,7.137123746,32.5333314,5.202977927,27.79875759,1
5.312812211,59.4453125,47.56834041,2.168906391,5.541206207,4.650501672,26.34873389,6.658480366,46.21752194,1
5.440004825,76.8359375,44.27008325,1.883284618,4.619828099,1.822742475,14.56557142,12.68602242,182.2400012,1
2.056840587,70.09375,44.81253269,1.277516001,2.383786223,1.91638796,15.28534718,12.46154934,172.4740624,1
5.3128122805,44.625,38.6298540639,3.7472362849,15.3580993781,68.126984127,45.4532667632,0.9274380095,0.8181616646,0
4.1103015285,61.65625,45.9205219476,2.4799613864,6.7942662001,109.598106061,63.3114014773,0.3856134418,-0.841001779,0
4.0745458596,67.46875,46.43441906,1.9401636929,4.7645158859,66.6904198232,45.9442481275,1.4691359392,1.6141919653,0
5.7901584367,57.6875,41.1904399558,2.4125569794,8.7630245142,67.970959596,46.0157389458,1.3867160217,2.0586048258,0
9.34346028,95.3828125,51.40329529,0.889495509,0.435109453,7.170568562,31.28802976,5.358360596,30.12281883,1
26.7445346887,44.109375,60.5619819863,1.9055009531,2.4666566409,97.3012265512,65.2308849662,0.2460937068,-0.912072201,0
7.6462645553,32.59375,40.8804349407,4.6599507085,22.1092869956,49.3471673254,37.2825627878,1.9185943463,4.9519825564,0
4.5051408842,51.609375,38.2351348515,3.2329926505,13.0642804122,79.1132376396,49.033684027,1.1590276196,1.1201357445,0
3.1021175905,85.125,45.3780990677,1.5941457373,3.9805931248,90.2369597615,41.2727106802,0.9808444601,1.944379725,0
26.3094900621,76.75,50.6800626479,1.7546239835,3.1848025581,124.792475315,55.0580497004,-0.072654561,-0.7752111762,0
1.8456645856,18.765625,42.0772140637,5.1434153094,25.3594471888,49.7490358127,35.9771061717,2.0248085284,5.8747316439,0
7.6462627693,39.046875,40.7911715661,3.7751654307,15.9780748127,77.5973011364,49.2901457504,0.9100290573,0.455135855,0
8.871754943,106.71875,48.59991922,0.48313819,0.060911664,6.269230769,29.92992523,6.026227618,38.46886389,1
7.4739603219,20.484375,43.2127701711,4.5054465798,19.6433576378,72.0651105651,47.4786500897,1.1356248511,1.447716588,0
7.474083856,45.546875,57.13947565,2.159587874,3.647239022,7.132107023,32.50110787,5.512261065,31.21090444,1
28.48262667,61.7421875,40.98880299,2.703389945,8.953157374,4.964882943,26.22708468,6.711390042,47.79428822,1
11.1100281373,40.3125,39.8743632394,4.0019095906,18.0672749156,100.357142857,40.6264723501,-0.3049083516,0.112999807,0
6.0006037239,34.359375,42.8556323557,3.4652527947,12.2944120797,102.506552007,54.3569827207,0.3891970038,-0.1753401641,0
7.4537863036,41.21875,38.0720816142,4.1359378307,19.2571503024,51.2081051479,37.1676307882,1.3714303556,2.9328796226,0
11.1089401881,75.453125,43.3207260181,1.9507979902,5.8237043344,78.9619164619,46.550297132,1.3796820199,1.8220342869,0
17.73865458,119.671875,39.98966847,0.359964202,0.967106331,2.613712375,15.02961222,8.938616437,104.8855616,1
3.625096738,99.3671875,48.84028036,1.028380113,1.303839586,2.808528428,18.26745633,9.34770625,98.16981116,1
4.0745428438,12.015625,36.3401861699,5.5208010947,31.205018958,58.8409090909,46.513999303,1.629930109,2.8843595723,0
3.1022379717,20.453125,37.8945616512,5.2669688845,27.3005689252,55.219851577,41.5868549855,1.4875929598,3.0324907597,0
3.625716882,84.6953125,49.34849899,0.960378055,1.102570305,5.490802676,27.76409972,6.181767503,40.39924672,1
8.1227980621,67.0625,45.621703648,1.6153124212,4.3287933885,81.3307776561,37.4660967124,0.6581041591,1.3128610774,0
2.3386378602,18.734375,37.2098114529,5.2745005808,28.0581027954,59.4866962306,39.2939347935,1.6022920609,3.8568454987,0
4.0745467455,67.296875,75.8653576426,1.3891287097,0.4545813464,90.5192165558,67.2695719252,0.6265139387,-0.8335622676,0
9.424111222,17.75,43.4381744552,4.542562623,20.1627822938,81.5328898744,47.5340527287,1.0334714116,1.2479062413,0
