@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {0,1}
@data
0.059238,7.0,13.0,62.0,12.074,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,8.0,0
0.0394922,6.0,1.0,1.0,10.1341,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,8.0,0
7.32577,11.0,1.0,1.0,10.028,1.0,1.0,1.0,3.0,3.0,3.0,5.0,6.0,8.0,11.0,0
9.08782,11.0,1.0,47.0,10.057,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,11.0,0
36.2591,12.0,1.0,1736.0,11.4912,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,11.0,0
158.281,12.0,1.0,450.0,10.3953,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,8.0,11.0,0
1.66377,10.0,6.0,140.0,10.5117,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,15.0,0
2.72927,12.0,1.0,2656.0,11.369,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,9.0,17.0,0
1.92346,12.0,2.0,578.0,10.5138,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,11.0,26.0,0
2.6887,11.0,38.0,1625.0,10.9829,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,14.0,28.0,0
24.5448,12.0,1.0,1028.0,10.3175,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,14.0,28.0,0
0.197458,9.0,49.0,473.0,14.6021,1.0,1.0,1.0,1.0,1.0,5.0,6.0,12.0,20.0,26.0,0
7.25513,12.0,2.0,1332.0,11.5631,3.0,3.0,3.0,4.0,4.0,6.0,8.0,16.0,20.0,26.0,0
1824.71,12.0,1.0,32.0,10.089,3.0,3.0,3.0,4.0,4.0,6.0,8.0,16.0,20.0,26.0,0
4.6191,12.0,70.0,2714.0,11.5758,3.0,3.0,3.0,4.0,4.0,6.0,8.0,16.0,20.0,26.0,0
1.90345,11.0,1.0,595.0,10.8146,1.0,1.0,1.0,5.0,5.0,8.0,8.0,14.0,21.0,25.0,0
1381.28,12.0,1.0,824.0,10.3349,1.0,1.0,1.0,2.0,2.0,7.0,10.0,14.0,22.0,25.0,0
3.03469,12.0,148.0,2542.0,11.156,2.0,2.0,2.0,2.0,2.0,6.0,13.0,17.0,21.0,24.0,0
2.6887,11.0,14.0,878.0,12.1469,2.0,2.0,2.0,3.0,6.0,8.0,12.0,17.0,23.0,24.0,0
1.86345,10.0,1.0,294.0,10.2222,1.0,4.0,4.0,6.0,6.0,6.0,11.0,18.0,21.0,24.0,0
12.4574,12.0,1.0,1500.0,10.5332,2.0,2.0,2.0,3.0,6.0,8.0,12.0,17.0,23.0,24.0,0
38.5413,12.0,1.0,962.0,10.9903,2.0,2.0,2.0,2.0,2.0,6.0,13.0,17.0,21.0,24.0,0
0.217204,7.0,27.0,25.0,12.2601,3.0,4.0,4.0,4.0,6.0,7.0,11.0,18.0,21.0,25.0,0
6.37739,12.0,2.0,1562.0,11.6688,1.0,1.0,3.0,3.0,3.0,6.0,11.0,13.0,21.0,27.0,0
4.25852,12.0,1.0,1050.0,0.0,3.0,4.0,4.0,4.0,6.0,7.0,11.0,18.0,21.0,25.0,0
9.6283,12.0,2.0,2602.0,11.1256,2.0,2.0,3.0,3.0,3.0,3.0,11.0,15.0,21.0,27.0,0
13.6105,12.0,1.0,870.0,11.5159,3.0,4.0,4.0,4.0,6.0,7.0,11.0,18.0,21.0,25.0,0
23.8371,12.0,1.0,2.0,10.0032,2.0,2.0,3.0,3.0,3.0,3.0,11.0,15.0,21.0,27.0,0
3.83918,11.0,1.0,130.0,10.7139,1.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,17.0,31.0,0
404.835,12.0,1.0,832.0,10.7051,1.0,2.0,2.0,2.0,2.0,2.0,7.0,11.0,16.0,31.0,0
3.46586,12.0,1.0,4486.0,11.2936,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,15.0,32.0,0
168.141,12.0,1.0,44.0,10.2653,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,15.0,32.0,0
0.0197462,3.0,1.0,2.0,11.1401,1.0,1.0,2.0,2.0,3.0,3.0,3.0,10.0,14.0,22.0,0
0.0789836,5.0,1.0,1.0,10.0559,1.0,1.0,2.0,2.0,2.0,3.0,3.0,8.0,13.0,25.0,0
4.74734,12.0,1.0,2552.0,10.7615,1.0,1.0,1.0,1.0,2.0,3.0,8.0,11.0,12.0,23.0,0
0.750701,12.0,2.0,3138.0,11.7029,3.0,3.0,3.0,5.0,5.0,7.0,9.0,12.0,13.0,24.0,0
4.51263,12.0,1.0,1432.0,13.8017,2.0,2.0,2.0,5.0,5.0,7.0,9.0,12.0,13.0,24.0,0
9.73273,11.0,1.0,584.0,10.7666,3.0,3.0,3.0,5.0,5.0,7.0,9.0,12.0,13.0,24.0,0
22.2063,12.0,1.0,908.0,11.2384,2.0,2.0,2.0,5.0,5.0,7.0,9.0,12.0,13.0,24.0,0
194.857,12.0,3.0,2994.0,11.1215,3.0,3.0,3.0,5.0,5.0,7.0,9.0,11.0,13.0,23.0,0
0.0394922,9.0,29.0,184.0,12.8661,1.0,1.0,1.0,1.0,3.0,3.0,9.0,11.0,15.0,22.0,0
0.0197462,2.0,1.0,1.0,11.4401,2.0,2.0,2.0,2.0,3.0,8.0,8.0,11.0,15.0,22.0,0
17.3529,12.0,1.0,1334.0,10.6324,2.0,2.0,2.0,2.0,3.0,8.0,8.0,11.0,15.0,22.0,0
1.68372,12.0,1.0,674.0,10.507,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,17.0,24.0,0
22.1184,12.0,1.0,346.0,10.5103,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,18.0,21.0,0
1.78351,11.0,95.0,2161.0,10.3479,2.0,2.0,2.0,2.0,2.0,3.0,7.0,9.0,12.0,30.0,0
14.99,12.0,1.0,5430.0,11.077,2.0,2.0,2.0,2.0,2.0,3.0,7.0,9.0,12.0,30.0,0
154.116,12.0,1.0,878.0,10.1927,1.0,1.0,1.0,2.0,4.0,6.0,7.0,8.0,10.0,30.0,0
0.0197462,6.0,3.0,13.0,11.0483,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,13.0,28.0,0
8.38662,12.0,1.0,11238.0,13.2933,2.0,2.0,3.0,3.0,4.0,4.0,7.0,8.0,10.0,29.0,0
8.38662,12.0,1.0,2420.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,7.0,8.0,10.0,29.0,0
1.42481,12.0,2.0,982.0,10.8874,3.0,3.0,3.0,3.0,3.0,4.0,10.0,12.0,13.0,23.0,0
2.40557,12.0,2.0,10632.0,14.4341,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,17.0,23.0,0
