@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {0,1}
@data
7.32577,11.0,1.0,1.0,10.028,1.0,1.0,1.0,3.0,3.0,3.0,5.0,6.0,8.0,11.0,0
9.08782,11.0,1.0,47.0,10.057,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,11.0,0
36.2591,12.0,1.0,1736.0,11.4912,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,11.0,0
158.281,12.0,1.0,450.0,10.3953,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,8.0,11.0,0
2.72927,12.0,1.0,2656.0,11.369,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,9.0,17.0,0
2.6887,11.0,38.0,1625.0,10.9829,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,14.0,28.0,0
24.5448,12.0,1.0,1028.0,10.3175,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,14.0,28.0,0
7.25513,12.0,2.0,1332.0,11.5631,3.0,3.0,3.0,4.0,4.0,6.0,8.0,16.0,20.0,26.0,0
1824.71,12.0,1.0,32.0,10.089,3.0,3.0,3.0,4.0,4.0,6.0,8.0,16.0,20.0,26.0,0
4.6191,12.0,70.0,2714.0,11.5758,3.0,3.0,3.0,4.0,4.0,6.0,8.0,16.0,20.0,26.0,0
1381.28,12.0,1.0,824.0,10.3349,1.0,1.0,1.0,2.0,2.0,7.0,10.0,14.0,22.0,25.0,0
3.03469,12.0,148.0,2542.0,11.156,2.0,2.0,2.0,2.0,2.0,6.0,13.0,17.0,21.0,24.0,0
2.6887,11.0,14.0,878.0,12.1469,2.0,2.0,2.0,3.0,6.0,8.0,12.0,17.0,23.0,24.0,0
12.4574,12.0,1.0,1500.0,10.5332,2.0,2.0,2.0,3.0,6.0,8.0,12.0,17.0,23.0,24.0,0
38.5413,12.0,1.0,962.0,10.9903,2.0,2.0,2.0,2.0,2.0,6.0,13.0,17.0,21.0,24.0,0
6.37739,12.0,2.0,1562.0,11.6688,1.0,1.0,3.0,3.0,3.0,6.0,11.0,13.0,21.0,27.0,0
4.25852,12.0,1.0,1050.0,0.0,3.0,4.0,4.0,4.0,6.0,7.0,11.0,18.0,21.0,25.0,0
9.6283,12.0,2.0,2602.0,11.1256,2.0,2.0,3.0,3.0,3.0,3.0,11.0,15.0,21.0,27.0,0
