@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute class {0,1}
@data
11.0,10.028,7.32577,1.0,0
11.0,10.057,9.08782,2.0,0
12.0,11.4912,36.2591,2.0,0
12.0,10.3953,158.281,1.0,0
12.0,11.369,2.72927,1.0,0
11.0,10.9829,2.6887,2.0,0
12.0,10.3175,24.5448,2.0,0
12.0,11.5631,7.25513,3.0,0
12.0,10.089,1824.71,3.0,0
12.0,11.5758,4.6191,3.0,0
12.0,10.3349,1381.28,1.0,0
12.0,11.156,3.03469,2.0,0
11.0,12.1469,2.6887,2.0,0
12.0,10.5332,12.4574,2.0,0
12.0,10.9903,38.5413,2.0,0
12.0,11.6688,6.37739,1.0,0
12.0,0.0,4.25852,3.0,0
12.0,11.1256,9.6283,2.0,0
12.0,11.5159,13.6105,3.0,0
12.0,10.0032,23.8371,2.0,0
11.0,10.7139,3.83918,1.0,0
12.0,10.7051,404.835,1.0,0
12.0,11.2936,3.46586,2.0,0
12.0,10.2653,168.141,2.0,0
12.0,10.7615,4.74734,1.0,0
12.0,13.8017,4.51263,2.0,0
11.0,10.7666,9.73273,3.0,0
12.0,11.2384,22.2063,2.0,0
12.0,11.1215,194.857,3.0,0
12.0,10.6324,17.3529,2.0,0
12.0,10.5103,22.1184,1.0,0
12.0,11.077,14.99,2.0,0
12.0,10.1927,154.116,1.0,0
12.0,13.2933,8.38662,2.0,0
12.0,0.0,8.38662,1.0,0
12.0,14.4341,2.40557,1.0,0
12.0,14.0978,11.3328,3.0,0
12.0,12.0986,167.545,3.0,0
12.0,10.1217,9.31787,1.0,0
12.0,13.9207,16.6688,3.0,0
12.0,12.9946,198.348,1.0,0
12.0,10.9499,5.61661,2.0,0
12.0,11.4327,8.36197,3.0,0
12.0,10.9675,16.3164,2.0,0
12.0,10.3761,30.1858,1.0,0
12.0,10.5648,413.545,3.0,0
12.0,10.7888,21.8564,1.0,0
12.0,11.1651,16.3164,2.0,0
12.0,10.5378,941.728,1.0,0
12.0,10.4982,9.57626,2.0,0
12.0,10.3843,12.4574,2.0,0
12.0,10.0552,16.0036,1.0,0
12.0,12.1381,5.97193,1.0,0
12.0,12.1879,3.5485,1.0,0
12.0,10.0659,14.8253,2.0,0
12.0,11.0012,23.6512,1.0,0
11.0,10.5379,24.4019,3.0,0
12.0,11.4749,6.44559,3.0,0
12.0,11.9738,220.649,3.0,0
12.0,24.1918,62.8736,3.0,0
12.0,10.5501,14.5317,1.0,0
12.0,11.3959,15.2226,3.0,0
12.0,11.3294,23.1461,3.0,0
12.0,11.5655,54.0274,3.0,0
12.0,10.066,20.0494,2.0,0
12.0,10.2811,215.997,2.0,0
11.0,10.195,6.90496,1.0,0
12.0,11.4401,7.06775,1.0,0
12.0,0.0,7.06775,2.0,0
7.0,10.4409,9.29219,9.0,0
12.0,12.4412,465.734,2.0,0
12.0,15.3577,6.15136,5.0,0
6.0,12.6519,3.01426,1.0,0
12.0,11.1502,12.5761,3.0,0
12.0,0.0,84.6832,9.0,0
12.0,10.827,347.55,9.0,0
12.0,12.4599,467.389,5.0,0
12.0,10.995,2.34509,1.0,0
12.0,12.1181,821.525,1.0,0
12.0,0.0,821.525,2.0,0
11.0,19.5789,9.36931,12.0,0
12.0,12.5818,2.12388,3.0,0
6.0,10.1298,2.26455,13.0,0
7.0,11.5753,2.32495,3.0,0
6.0,10.2691,7.75402,13.0,0
10.0,12.151,14.7597,1.0,0
9.0,10.2102,17.4994,3.0,0
12.0,12.1218,277.919,9.0,0
10.0,160.104,834.743,2.0,1
12.0,12.4444,11.9024,1.0,0
12.0,10.6981,2.48631,1.0,0
12.0,10.5618,4.79021,1.0,0
12.0,12.1149,6.4001,1.0,0
12.0,10.0729,2.72927,1.0,0
12.0,11.0307,3.96445,2.0,0
12.0,11.0148,4.74734,2.0,0
12.0,10.7589,4.91916,2.0,0
12.0,10.4214,874.133,2.0,0
12.0,10.0584,5.13532,2.0,0
12.0,10.353,7.82614,1.0,0
12.0,10.0756,28.4628,2.0,0
11.0,11.5628,653.526,1.0,0
9.0,0.0,763.911,1.0,0
6.0,10.57,815.718,7.0,0
5.0,10.0799,822.984,7.0,0
2.0,10.1266,854.211,7.0,0
2.0,11.9606,858.768,7.0,0
3.0,10.0503,886.624,7.0,0
4.0,11.3115,894.52,7.0,0
12.0,10.8973,16.847,3.0,0
12.0,10.5369,9.31787,3.0,0
12.0,14.3348,1997.43,2.0,0
12.0,11.9269,5.20048,3.0,0
12.0,0.0,5.20048,2.0,0
12.0,13.6525,80.8342,3.0,0
12.0,11.3588,158.563,3.0,0
12.0,10.6678,11.4173,1.0,0
12.0,10.3031,123.167,1.0,0
12.0,10.5357,720.486,1.0,0
12.0,16.5309,2.56717,2.0,0
12.0,10.679,358.192,1.0,0
12.0,14.3406,4.21635,1.0,0
12.0,10.7112,9.78513,2.0,0
12.0,11.5943,50.7984,3.0,0
12.0,10.1419,56.9364,2.0,0
12.0,10.7582,213.708,1.0,0
12.0,10.6176,812.83,1.0,0
12.0,10.7539,17.795,2.0,0
12.0,10.4742,1443.89,2.0,0
11.0,11.777,4.19529,2.0,0
11.0,10.0223,199.054,2.0,0
12.0,10.1056,684.367,1.0,0
12.0,13.7201,774.826,2.0,0
12.0,10.8418,1696.75,2.0,0
12.0,11.1271,2.16404,2.0,0
12.0,10.8055,11.5873,1.0,0
12.0,10.4821,4.36416,1.0,0
12.0,11.2402,46.3822,3.0,0
7.0,20.3528,2.26455,2.0,0
9.0,0.0,28.4628,2.0,0
9.0,10.2794,149.794,2.0,0
12.0,0.0,150.863,2.0,0
12.0,10.5476,243.28,2.0,0
12.0,10.5653,4.30073,1.0,0
12.0,13.5503,282.896,3.0,0
12.0,10.4586,961.984,1.0,0
11.0,11.072,98.9214,1.0,0
11.0,0.0,98.9214,3.0,0
11.0,13.2361,121.642,3.0,0
12.0,10.0324,181.491,1.0,0
12.0,11.0516,5.90495,1.0,0
12.0,10.1917,7.73002,2.0,0
12.0,10.8099,22.5606,2.0,0
12.0,12.8105,5.48454,2.0,0
12.0,10.875,32.3015,2.0,0
12.0,15.7417,131.085,2.0,0
12.0,0.0,115.313,2.0,0
12.0,14.2069,206.251,2.0,0
12.0,0.0,206.251,2.0,0
12.0,11.4999,6.55965,3.0,0
12.0,11.0761,5.70501,2.0,0
12.0,15.6562,58.1837,3.0,0
12.0,13.1983,252.52,3.0,0
12.0,10.0535,2.99385,1.0,0
12.0,11.1379,3.94354,1.0,0
12.0,10.3923,11.4739,1.0,0
12.0,15.3458,77.157,2.0,0
12.0,0.0,70.2873,2.0,0
11.0,11.166,212.573,2.0,0
10.0,172.064,877.239,7.0,1
12.0,10.4737,363.312,1.0,0
10.0,13.49,2.7902,3.0,0
11.0,13.4641,4.38533,5.0,0
5.0,10.2954,5.81591,3.0,0
7.0,10.1548,16.3865,3.0,0
8.0,11.2834,21.7263,5.0,0
9.0,10.6896,47.6672,3.0,0
12.0,11.1471,5.46259,2.0,0
11.0,11.7366,371.13,6.0,0
12.0,17.0107,945.074,5.0,0
7.0,10.174,20.666,4.0,0
12.0,13.9405,60.1042,1.0,0
12.0,10.9852,239.424,2.0,0
12.0,11.9052,294.681,4.0,0
12.0,10.1161,1364.24,5.0,0
12.0,11.1431,777.579,5.0,0
12.0,0.0,777.579,4.0,0
10.0,149.371,652.368,2.0,0
8.0,0.0,578.249,4.0,0
8.0,10.3329,16.6333,3.0,0
12.0,10.7592,1480.19,5.0,0
12.0,10.0245,27.3448,3.0,0
12.0,10.1671,49.4332,3.0,0
12.0,10.6685,5.15702,3.0,0
12.0,10.3234,1431.15,5.0,0
10.0,10.5884,262.11,4.0,0
12.0,10.1321,1136.49,4.0,0
5.0,10.0109,4.5339,1.0,0
12.0,11.2715,12.7252,3.0,0
9.0,11.3353,14.146,7.0,0
12.0,10.062,54.5185,6.0,0
12.0,12.484,128.315,7.0,0
12.0,0.0,128.315,4.0,0
7.0,10.6547,4.57647,2.0,0
11.0,10.0338,1300.46,1.0,0
12.0,13.1755,330.706,4.0,0
2.0,11.3945,632.992,2.0,1
12.0,20.081,59.4573,4.0,0
12.0,10.7943,3.63133,1.0,0
12.0,11.0492,4.25852,2.0,0
12.0,13.8924,3.79751,3.0,0
12.0,0.0,3.79751,1.0,0
12.0,10.7129,16.3865,3.0,0
12.0,10.1084,29.9019,3.0,0
12.0,10.467,3.36279,1.0,0
12.0,10.4506,88.871,1.0,0
12.0,11.0863,44.6381,3.0,0
12.0,11.8803,5.11363,2.0,0
12.0,10.1412,402.686,1.0,0
12.0,11.8413,15.2895,4.0,0
12.0,23.5269,1831.2,1.0,0
7.0,11.9772,4.68316,2.0,0
3.0,10.1398,3.38338,3.0,0
3.0,10.346,3.32164,3.0,0
6.0,10.0209,4.59778,2.0,0
5.0,10.1266,9.73273,3.0,0
4.0,11.2328,47.8411,3.0,0
11.0,10.736,48.5426,3.0,0
6.0,0.0,49.3434,8.0,0
12.0,10.0922,1661.03,3.0,0
12.0,0.0,18.2074,2.0,0
12.0,13.5148,1600.31,5.0,0
12.0,10.2691,1860.66,4.0,0
3.0,10.4991,2.30481,8.0,0
3.0,10.3952,2.56717,12.0,0
4.0,10.5716,2.70898,12.0,0
4.0,10.2047,4.06919,6.0,0
5.0,12.0286,6.67423,10.0,0
5.0,10.2001,8.26363,13.0,0
7.0,10.0009,20.8748,8.0,0
7.0,10.1274,31.1104,12.0,0
7.0,10.0778,31.5821,12.0,0
6.0,10.7252,53.6376,5.0,0
12.0,19.4658,105.859,4.0,0
8.0,0.0,99.9861,5.0,0
12.0,14.5972,183.763,7.0,0
12.0,18.4235,201.544,9.0,0
8.0,10.6333,286.941,7.0,0
12.0,13.6892,321.45,4.0,0
12.0,19.2567,352.518,14.0,0
12.0,10.3962,412.812,10.0,0
12.0,14.1185,481.697,3.0,0
12.0,14.717,637.499,4.0,0
12.0,11.3929,751.814,3.0,0
11.0,11.2972,972.274,6.0,0
12.0,12.1301,5.00544,2.0,0
12.0,0.0,5.00544,4.0,0
12.0,11.7204,17.573,2.0,0
12.0,11.7542,7.37298,3.0,0
12.0,10.2464,301.023,1.0,0
12.0,13.5866,1152.72,3.0,0
4.0,10.5234,6.62833,4.0,0
8.0,19.4504,2.64815,7.0,0
3.0,10.6428,2.66842,18.0,0
5.0,10.1086,2.8512,18.0,0
3.0,11.582,2.50651,39.0,0
2.0,10.3259,2.5874,37.0,0
